thermal_conductivity,gram,price,name,link
5.2,1.5,44.55,"Pasta Térmica Deepcool Gamer Storm G15, Seringa 1.5g, 5.2 W/M-K - DP-GS-TP-G15",https://www.kabum.com.br/produto/225583/pasta-termica-deepcool-gamer-storm-g15-seringa-1-5g-5-2-w-m-k-dp-gs-tp-g15
10.5,5.0,20.94,"Pasta Termica Gamer Ryvel Arctic Cinza 10,5 W / Mk 5g U Unica Unica",https://www.kabum.com.br/produto/638234/pasta-termica-gamer-ryvel-arctic-cinza-10-5-w-mk-5g-u-unica-unica
6.2,1.0,20.43,"Pasta Térmica Alto Desempenho Implastec Ts Pro 6,2w/mk 1g",https://www.kabum.com.br/produto/541261/pasta-termica-alto-desempenho-implastec-ts-pro-6-2w-mk-1g
5.5,4.0,23.55,"Pasta Termica Pcyes Nitrogen Basic, 4G, 5.5W/MK - Pcynb0455",https://www.kabum.com.br/produto/431254/pasta-termica-pcyes-nitrogen-basic-4g-5-5w-mk-pcynb0455
12.8,30.0,269.99,"Pasta Térmica Snowdog Husky Alta Performance Profissional 12,8w/m.k 30g",https://www.kabum.com.br/produto/565461/pasta-termica-snowdog-husky-alta-performance-profissional-12-8w-m-k-30g
12.8,3.0,78.99,Pasta Térmica Snowdog Husky 3g 12.8w/mk + Sache Para Limpeza,https://www.kabum.com.br/produto/704069/pasta-termica-snowdog-husky-3g-12-8w-mk-sache-para-limpeza
12.5,1.5,51.89,"Pasta Térmica Pcyes, Nitrogen, Max 1.5g - 12.5w/mk - Pcynm15125",https://www.kabum.com.br/produto/433746/pasta-termica-pcyes-nitrogen-max-1-5g-12-5w-mk-pcynm15125
80.0,2.0,217.4,Pasta Térmica Metal Líquido Thermal Hero Metalliq 80 W/mk 2g,https://www.kabum.com.br/produto/709182/pasta-termica-metal-liquido-thermal-hero-metalliq-80-w-mk-2g
8.0,2.0,59.99,"Pasta Térmica Thermalright Tf7, Condutividade 12..8w/m-k, 2g - Tl-tf7",https://www.kabum.com.br/produto/576793/pasta-termica-thermalright-tf7-condutividade-12-8w-m-k-2g-tl-tf7
5.0,1.0,5.09,"Pasta termica dex prata 1g em seringa ( 3,05 w/mk ) ps01",https://www.kabum.com.br/produto/135611/pasta-termica-dex-prata-1g-em-seringa-3-05-w-mk-ps01
